"filename", "language", "Properties", "Ignore", "JavaScript", "HTML", "JSON", "Markdown", "Vue.js", "SCSS", "comment", "blank", "total"
"d:\实习\gaoditu\gaode\.editorconfig", "Properties", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\实习\gaoditu\gaode\.eslintignore", "Ignore", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\实习\gaoditu\gaode\.eslintrc.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 8, 2, 35
"d:\实习\gaoditu\gaode\.postcssrc.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 2, 11
"d:\实习\gaoditu\gaode\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 0, 0, 8, 22
"d:\实习\gaoditu\gaode\build\build.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
"d:\实习\gaoditu\gaode\build\check-versions.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 10, 55
"d:\实习\gaoditu\gaode\build\utils.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 5, 17, 102
"d:\实习\gaoditu\gaode\build\vue-loader.conf.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"d:\实习\gaoditu\gaode\build\webpack.base.conf.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 0, 4, 4, 96
"d:\实习\gaoditu\gaode\build\webpack.dev.conf.js", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 0, 7, 7, 96
"d:\实习\gaoditu\gaode\build\webpack.prod.conf.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 0, 24, 8, 146
"d:\实习\gaoditu\gaode\config\dev.env.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\实习\gaoditu\gaode\config\index.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 30, 16, 77
"d:\实习\gaoditu\gaode\config\prod.env.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\实习\gaoditu\gaode\index.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 4, 23
"d:\实习\gaoditu\gaode\package-lock.json", "JSON", 0, 0, 0, 0, 13714, 0, 0, 0, 0, 1, 13715
"d:\实习\gaoditu\gaode\package.json", "JSON", 0, 0, 0, 0, 82, 0, 0, 0, 0, 1, 83
"d:\实习\gaoditu\gaode\src\App.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"d:\实习\gaoditu\gaode\src\action\util.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"d:\实习\gaoditu\gaode\src\api\index.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 33, 4, 69
"d:\实习\gaoditu\gaode\src\assets\data\menuData.js", "JavaScript", 0, 0, 142, 0, 0, 0, 0, 0, 6, 2, 150
"d:\实习\gaoditu\gaode\src\assets\style\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 81, 0, 4, 85
"d:\实习\gaoditu\gaode\src\components\activity\activityFrom.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 460, 0, 7, 2, 469
"d:\实习\gaoditu\gaode\src\components\activity\activityRecordTable.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 160, 0, 4, 3, 167
"d:\实习\gaoditu\gaode\src\components\activity\activityTable.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 206, 0, 4, 3, 213
"d:\实习\gaoditu\gaode\src\components\admin\Tag.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 189, 0, 3, 1, 193
"d:\实习\gaoditu\gaode\src\components\admin\log.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 156, 0, 1, 2, 159
"d:\实习\gaoditu\gaode\src\components\admin\reg.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 186, 0, 20, 2, 208
"d:\实习\gaoditu\gaode\src\components\community\auditDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 148, 0, 0, 3, 151
"d:\实习\gaoditu\gaode\src\components\community\auditTabel.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 163, 0, 4, 3, 170
"d:\实习\gaoditu\gaode\src\components\community\communityInfoFrom.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 302, 0, 2, 2, 306
"d:\实习\gaoditu\gaode\src\components\community\communtiyTable.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 170, 0, 4, 3, 177
"d:\实习\gaoditu\gaode\src\components\community\myCommunityInfoFrom.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 449, 0, 4, 2, 455
"d:\实习\gaoditu\gaode\src\components\news\newsEditor.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 242, 0, 18, 2, 262
"d:\实习\gaoditu\gaode\src\components\news\newsTable.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 177, 0, 4, 3, 184
"d:\实习\gaoditu\gaode\src\components\public\Editor.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 186, 0, 29, 10, 225
"d:\实习\gaoditu\gaode\src\components\public\table.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 150, 0, 4, 3, 157
"d:\实习\gaoditu\gaode\src\components\userTableDialog\dialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 218, 0, 0, 4, 222
"d:\实习\gaoditu\gaode\src\main.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 4, 4, 26
"d:\实习\gaoditu\gaode\src\router\index.js", "JavaScript", 0, 0, 197, 0, 0, 0, 0, 0, 0, 3, 200
"d:\实习\gaoditu\gaode\src\views\Index.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 255, 0, 0, 6, 261
"d:\实习\gaoditu\gaode\src\views\activity\activityApproval.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 192, 0, 3, 3, 198
"d:\实习\gaoditu\gaode\src\views\activity\activityList.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 200, 0, 3, 4, 207
"d:\实习\gaoditu\gaode\src\views\activity\activityRecord.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 189, 0, 3, 3, 195
"d:\实习\gaoditu\gaode\src\views\activity\distributeActivity.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"d:\实习\gaoditu\gaode\src\views\activity\editActivity.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 40, 0, 0, 1, 41
"d:\实习\gaoditu\gaode\src\views\activity\viewActivityInfo.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 40, 0, 0, 1, 41
"d:\实习\gaoditu\gaode\src\views\admin\createSocieties.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 467, 0, 0, 1, 468
"d:\实习\gaoditu\gaode\src\views\admin\login.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 72, 0, 2, 5, 79
"d:\实习\gaoditu\gaode\src\views\admin\shouye.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\实习\gaoditu\gaode\src\views\community\auditRecord.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 149, 0, 3, 3, 155
"d:\实习\gaoditu\gaode\src\views\community\communityApproval.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 161, 0, 3, 3, 167
"d:\实习\gaoditu\gaode\src\views\community\communityInfo.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 167, 0, 3, 4, 174
"d:\实习\gaoditu\gaode\src\views\community\editCommunityInfo.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 47, 0, 27, 1, 75
"d:\实习\gaoditu\gaode\src\views\community\myCommuntiyInfo.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 53, 0, 0, 1, 54
"d:\实习\gaoditu\gaode\src\views\item1\item1-1.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 193, 0, 3, 2, 198
"d:\实习\gaoditu\gaode\src\views\item1\item1-2.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\实习\gaoditu\gaode\src\views\item1\item1-3.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\实习\gaoditu\gaode\src\views\news\distributeNews.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 31
"d:\实习\gaoditu\gaode\src\views\news\editNews.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 37
"d:\实习\gaoditu\gaode\src\views\news\newsList.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 156, 0, 3, 3, 162
"d:\实习\gaoditu\gaode\src\views\wxUser\wxUserList.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 190, 0, 3, 4, 197
"Total", "-", 8, 4, 929, 18, 13796, 14, 6275, 81, 288, 213, 21626
